Feature,Importance,Std
NumChargedAtoms,0.15434782608695646,0.03631150671410882
TPSA,0.024999999999999946,0.017560320023264665
NumRings,0.017391304347826052,0.005324977701702585
NumSulfurs,0.015217391304347783,0.005324977701702585
PolarRatio,0.01413043478260866,0.0069599176493835395
MW,0.011956521739130399,0.0076086956521739125
LogP,0.006521739130434745,0.00532497770170253
Chi0v,0.005434782608695621,0.00543478260869562
HBD,0.005434782608695621,0.00543478260869562
LabuteASA,0.004347826086956497,0.00532497770170253
Chi1v,0.004347826086956497,0.00532497770170253
NumEthers,0.0032608695652173838,0.00695991764938352
RotBonds,0.0021739130434782483,0.004347826086956497
NumAromRings,0.0021739130434782483,0.004347826086956497
LongestAliphaticChain,0.0021739130434782483,0.004347826086956497
AliphaticCarbonCount,0.0021739130434782483,0.004347826086956497
NumCarbonyls,0.001086956521739113,0.005853440007754884
MolMR,0.0,0.0
SMILES_Valid,0.0,0.0
NumAmines,0.0,0.0
NumCarboxyls,0.0,0.0
CarbonCount,0.0,0.0
HeavyAtomCount,0.0,0.0
FractionCSP3,0.0,0.0
HBA,-1.1102230246251566e-17,0.004861017342390844
NumOH,-1.1102230246251566e-17,0.004861017342390844
