Feature,Importance_Difference
NumAromRings,0.0869565217391304
NumOH,0.03586956521739128
NumEthers,0.015217391304347783
FractionCSP3,0.010869565217391242
TPSA,0.00978260869565214
HBA,0.006521739130434778
LogP,0.00434782608695653
LongestAliphaticChain,0.003260869565217361
HBD,0.0021739130434782483
RotBonds,3.3306690738754695e-17
NumSulfurs,0.0
Chi0v,0.0
PolarRatio,0.0
MolMR,0.0
NumChargedAtoms,0.0
LabuteASA,0.0
NumAmines,0.0
SMILES_Valid,0.0
NumCarboxyls,0.0
NumCarbonyls,0.0
MW,0.0
AliphaticCarbonCount,0.0
CarbonCount,0.0
HeavyAtomCount,0.0
NumRings,0.0
Chi1v,0.0
